Label,Image_Path
ಸಚಿವ,kannada_ocr_images/word_42.png
ರಮೇಶ್,kannada_ocr_images/word_43.png
ಕುಮಾರ್,kannada_ocr_images/word_44.png
ನವವಿವಾಹಿತರಿಗೆ,kannada_ocr_images/word_45.png
ಇರಿಸಿದ,kannada_ocr_images/word_46.png
ಸಾವು,kannada_ocr_images/word_47.png
ಅಮಿತ್,kannada_ocr_images/word_48.png
ಶಾ,kannada_ocr_images/word_49.png
ಅಮಾನತು,kannada_ocr_images/word_50.png
ಚುನಾವಣಾ,kannada_ocr_images/word_51.png
ಜಯಾ,kannada_ocr_images/word_52.png
ಅತಿಥಿಯಾಗಿ,kannada_ocr_images/word_53.png
ಮೋದಿ,kannada_ocr_images/word_54.png
ಕುಡಿಯುವ,kannada_ocr_images/word_55.png
ನೀರಿನ,kannada_ocr_images/word_56.png
ಘಟಕ,kannada_ocr_images/word_57.png
ಸುಧಾಕರ್,kannada_ocr_images/word_58.png
ಜೆಕೆ,kannada_ocr_images/word_59.png
ಆರೋಪ,kannada_ocr_images/word_60.png
ನಲಪಾಡ್,kannada_ocr_images/word_61.png
ಜಾಮೀನು,kannada_ocr_images/word_62.png
ವಿಚಾರಣೆ,kannada_ocr_images/word_63.png
ಬಿಜೆಪಿಗೆ,kannada_ocr_images/word_64.png
ವರ,kannada_ocr_images/word_65.png
ದೇಹದ,kannada_ocr_images/word_66.png
ತಾಪಮಾನ,kannada_ocr_images/word_67.png
ಏರಿಸಬೇಕಾದರೆ,kannada_ocr_images/word_68.png
ದೇಹ,kannada_ocr_images/word_69.png
ಇತರ,kannada_ocr_images/word_70.png
ಕೆಲಸಗಳಿಗೆ,kannada_ocr_images/word_71.png
ಕಡಿಮೆ,kannada_ocr_images/word_72.png
ಪಡೆಯಲು,kannada_ocr_images/word_73.png
ಸಲಹೆ,kannada_ocr_images/word_74.png
ಬೇಗನೇ,kannada_ocr_images/word_75.png
ಈ,kannada_ocr_images/word_76.png
ಕೆಲವು,kannada_ocr_images/word_77.png
ಮಾಡಿ,kannada_ocr_images/word_78.png
ಮುಗಿಸುವ,kannada_ocr_images/word_79.png
ಮೂಲಕ,kannada_ocr_images/word_80.png
ಇಳಿಯಲು,kannada_ocr_images/word_81.png
ಕೆಲವು,kannada_ocr_images/word_82.png
ಸುಲಭವಾದ,kannada_ocr_images/word_83.png
ಆದರೆ,kannada_ocr_images/word_84.png
ರಸ,kannada_ocr_images/word_85.png
ದೇಹ,kannada_ocr_images/word_86.png
ಇರುವಂತೆ,kannada_ocr_images/word_87.png
ಈಗತಾನೇ,kannada_ocr_images/word_88.png
ತೆಗೆದ,kannada_ocr_images/word_89.png
ತಾಜಾ,kannada_ocr_images/word_90.png
ಕುಡಿಯುವ,kannada_ocr_images/word_91.png
ಮೂಲಕ,kannada_ocr_images/word_92.png
ಅಪಾರ,kannada_ocr_images/word_93.png
ವಿಟಮಿನ್,kannada_ocr_images/word_94.png
ಸಿ,kannada_ocr_images/word_95.png
ಇದು,kannada_ocr_images/word_96.png
ದೇಹದ,kannada_ocr_images/word_97.png
ರೋಗನಿರೋಧಕ,kannada_ocr_images/word_98.png
ಬಲಪಡಿಸುವ,kannada_ocr_images/word_99.png
ಮೂಲಕ,kannada_ocr_images/word_100.png
ಸದೆಬಡಿಯಲು,kannada_ocr_images/word_101.png
ಕಪ್,kannada_ocr_images/word_102.png
ಚಹಾ,kannada_ocr_images/word_103.png
ಸೇರಿಸಿ,kannada_ocr_images/word_104.png
ಬಿಸಿಬಿಸಿಯಿರುವಂತೆಯೇ,kannada_ocr_images/word_105.png
ಈ,kannada_ocr_images/word_106.png
ಗಂಟಲ,kannada_ocr_images/word_107.png
ಕೆರೆತ,kannada_ocr_images/word_108.png
ಮೂಸಂಬಿ,kannada_ocr_images/word_109.png
ಸೇವಿಸಿ,kannada_ocr_images/word_110.png
ವೇಳೆ,kannada_ocr_images/word_111.png
ಸುಲಿಯಬಹುದಾದ,kannada_ocr_images/word_112.png
ಸುಲಿದು,kannada_ocr_images/word_113.png
ಮೂಸಂಬಿ,kannada_ocr_images/word_114.png
ಮೊದಲಾದ,kannada_ocr_images/word_115.png
ಲಿಂಬೆಜಾತಿಯ,kannada_ocr_images/word_116.png
ರೋಗನಿರೋಧಕ,kannada_ocr_images/word_117.png
ತಂಡಗಳ,kannada_ocr_images/word_118.png
ಆಸೀಸ್,kannada_ocr_images/word_119.png
ಭಾರತೀಯರ,kannada_ocr_images/word_120.png
ಹೊರವಲಯದ,kannada_ocr_images/word_121.png
ಭಾರತ,kannada_ocr_images/word_122.png
ಹಾಗೂ,kannada_ocr_images/word_123.png
ಎ,kannada_ocr_images/word_124.png
ತಂಡಗಳ,kannada_ocr_images/word_125.png
ನಡುವೆ,kannada_ocr_images/word_126.png
ಅನಧಿಕೃತ,kannada_ocr_images/word_127.png
ಭಾರತ,kannada_ocr_images/word_128.png
ಎ,kannada_ocr_images/word_129.png
ದಿನದಾಟದ,kannada_ocr_images/word_130.png
ವಿಕೆಟ್,kannada_ocr_images/word_131.png
ರನ್,kannada_ocr_images/word_132.png
ಎ,kannada_ocr_images/word_133.png
ತಂಡ,kannada_ocr_images/word_134.png
ಮಿಚೆಲ್,kannada_ocr_images/word_135.png
ಹಾಗೂ,kannada_ocr_images/word_136.png
ಹೆಡ್,kannada_ocr_images/word_137.png
ಅವರ,kannada_ocr_images/word_138.png
ಅಮೋಘ,kannada_ocr_images/word_139.png
ಮೊದಲ,kannada_ocr_images/word_140.png
ಆಲೌಟ್,kannada_ocr_images/word_141.png
ಮಾಡಿದ,kannada_ocr_images/word_142.png
ಭಾರತ,kannada_ocr_images/word_143.png
ಎ,kannada_ocr_images/word_144.png
ಆರಂಭ,kannada_ocr_images/word_145.png
ಮೊದಲ,kannada_ocr_images/word_146.png
ರವಿಕುಮಾರ್,kannada_ocr_images/word_147.png
ಹಾಗೂ,kannada_ocr_images/word_148.png
ಕಾಣಿಕೆ,kannada_ocr_images/word_149.png
ರವಿಕುಮಾರ್,kannada_ocr_images/word_150.png
ಹಾಗೂ,kannada_ocr_images/word_151.png
ಪೆವಿಲಿಯನ್,kannada_ocr_images/word_152.png
ರನ್,kannada_ocr_images/word_153.png
ಗಳಿಸಿ,kannada_ocr_images/word_154.png
ಅಂಕಿತ್,kannada_ocr_images/word_155.png
ಔಟ್,kannada_ocr_images/word_156.png
ದಿನದಾಟದ,kannada_ocr_images/word_157.png
ಭಾರತ,kannada_ocr_images/word_158.png
ಎ,kannada_ocr_images/word_159.png
ವಿಕೆಟ್,kannada_ocr_images/word_160.png
ರನ್,kannada_ocr_images/word_161.png
ನಾಯಕ,kannada_ocr_images/word_162.png
ಹಾಗೂ,kannada_ocr_images/word_163.png
ಗಿಲ್,kannada_ocr_images/word_164.png
ರನ್,kannada_ocr_images/word_165.png
ಬಾರಿಸಿ,kannada_ocr_images/word_166.png
ನಾಳೆಗೆ,kannada_ocr_images/word_167.png
ಕೂದಲು,kannada_ocr_images/word_168.png
ಅಥವಾ,kannada_ocr_images/word_169.png
ಕೇಶರಾಶಿ,kannada_ocr_images/word_170.png
ಮಹಿಳೆ,kannada_ocr_images/word_171.png
ಕೂದಲು,kannada_ocr_images/word_172.png
ಹಾಗೂ,kannada_ocr_images/word_173.png
ಒರಟಾದ,kannada_ocr_images/word_174.png
ಕೂದಲು,kannada_ocr_images/word_175.png
ಹಾಗಂತ,kannada_ocr_images/word_176.png
ಅವುಗಳ,kannada_ocr_images/word_177.png
ಆರೈಕೆ,kannada_ocr_images/word_178.png
ಮಾಡದೇ,kannada_ocr_images/word_179.png
ಇರಲು,kannada_ocr_images/word_180.png
ಮೆರಗು,kannada_ocr_images/word_181.png
ನೀಡುವ,kannada_ocr_images/word_182.png
ಕೇಶಗಳ,kannada_ocr_images/word_183.png
ರಕ್ಷಣೆಗೆ,kannada_ocr_images/word_184.png
ಅನೇಕ,kannada_ocr_images/word_185.png
ಔಷಧಿ,kannada_ocr_images/word_186.png
ಹಾಗೂ,kannada_ocr_images/word_187.png
ಇವು,kannada_ocr_images/word_188.png
ಪರಿಣಾಮಗಳೇ,kannada_ocr_images/word_189.png
ಕೇಶರಾಶಿಗೆ,kannada_ocr_images/word_190.png
ಆರೈಕೆ,kannada_ocr_images/word_191.png
ನೀಡುವ,kannada_ocr_images/word_192.png
ಮನೆ,kannada_ocr_images/word_193.png
ಔಷಧ,kannada_ocr_images/word_194.png
ಸೀಬೆ,kannada_ocr_images/word_195.png
ಎಲೆಗಳ,kannada_ocr_images/word_196.png
ಸೀಬೆ,kannada_ocr_images/word_197.png
ಎಲೆ,kannada_ocr_images/word_198.png
ಕೆಲವು,kannada_ocr_images/word_199.png
ಸಂಶೋಧನೆಯ,kannada_ocr_images/word_200.png
ಕೇಶಗಳ,kannada_ocr_images/word_201.png
ಕೇಶಗಳ,kannada_ocr_images/word_202.png
ಸೀಬೆ,kannada_ocr_images/word_203.png
ಎಲೆಗಳ,kannada_ocr_images/word_204.png
ಈ,kannada_ocr_images/word_205.png
ತಡೆದು,kannada_ocr_images/word_206.png
ಅಧಿಕ,kannada_ocr_images/word_207.png
ಕೂದಲು,kannada_ocr_images/word_208.png
ಸಹಾಯ,kannada_ocr_images/word_209.png
ಸೀಬೆ,kannada_ocr_images/word_210.png
ಇದರ,kannada_ocr_images/word_211.png
ಔಷಧ,kannada_ocr_images/word_212.png
ತಯಾರಿಸುವುದು,kannada_ocr_images/word_213.png
ವಿವರಣೆ,kannada_ocr_images/word_214.png
ಅನುವಾದಗಳು,kannada_ocr_images/word_215.png
ಅಡಿಗ,kannada_ocr_images/word_216.png
ಓಡಲೆಳೆಸುತಿಹುದು,kannada_ocr_images/word_217.png
ಜೀವ,kannada_ocr_images/word_218.png
ಹೂವಿನ,kannada_ocr_images/word_219.png
ದಳ,kannada_ocr_images/word_220.png
ನನಗೆ,kannada_ocr_images/word_221.png
ನಾನು,kannada_ocr_images/word_222.png
ಈ,kannada_ocr_images/word_223.png
ಕಡೆ,kannada_ocr_images/word_224.png
ತಲೆ,kannada_ocr_images/word_225.png
ಯಾರೂ,kannada_ocr_images/word_226.png
ಅಥವಾ,kannada_ocr_images/word_227.png
ಪಟಾಕಿ,kannada_ocr_images/word_228.png
ಹೀರೆಮಠ,kannada_ocr_images/word_229.png
ಆ,kannada_ocr_images/word_230.png
ಕಾಲವೇ,kannada_ocr_images/word_231.png
ಮುಖಾಮುಖಿ,kannada_ocr_images/word_232.png
ಸಂಬಂಧಗಳಿಗೆ,kannada_ocr_images/word_233.png
ಬೆಲೆ,kannada_ocr_images/word_234.png
ಜತೆಯಾಗಿ,kannada_ocr_images/word_235.png
ಪಾಠ,kannada_ocr_images/word_236.png
ಆದರೆ,kannada_ocr_images/word_237.png
ಈಗ,kannada_ocr_images/word_238.png
ಕಾಲ,kannada_ocr_images/word_239.png
ಕೆಲಸದ,kannada_ocr_images/word_240.png
ದೂರದ,kannada_ocr_images/word_241.png
ಹೋಗಿ,kannada_ocr_images/word_242.png
ಅದು,kannada_ocr_images/word_243.png
ಕೈಗೆ,kannada_ocr_images/word_244.png
ಸಿಗದ,kannada_ocr_images/word_245.png
ಯಾಕೆ,kannada_ocr_images/word_246.png
ಹೀಗೆ,kannada_ocr_images/word_247.png
ರೋಬೊ,kannada_ocr_images/word_248.png
ಕಂಡುಹಿಡಿಯಬೇಕು,kannada_ocr_images/word_249.png
ಆದರೆ,kannada_ocr_images/word_250.png
ನಾವೇ,kannada_ocr_images/word_251.png
ರೋಬೊ,kannada_ocr_images/word_252.png
ಕಳಿಸಿದ,kannada_ocr_images/word_253.png
ನಾಯಕ,kannada_ocr_images/word_254.png
ಗೋವಾ,kannada_ocr_images/word_255.png
ಸಾಮಾಜಿಕ,kannada_ocr_images/word_256.png
ಜಾಲತಾಣ,kannada_ocr_images/word_257.png
ಗೋವಾ,kannada_ocr_images/word_258.png
ಪಕ್ಷದ,kannada_ocr_images/word_259.png
ಹಿರಿಯ,kannada_ocr_images/word_260.png
ಕರೀನಾ,kannada_ocr_images/word_261.png
ಕಪೂರ್,kannada_ocr_images/word_262.png
ಹಾಗೂ,kannada_ocr_images/word_263.png
ಕರಣ್,kannada_ocr_images/word_264.png
ಜೋಹರ್,kannada_ocr_images/word_265.png
ಶೇರ್,kannada_ocr_images/word_266.png
ಕೂಡ,kannada_ocr_images/word_267.png
ಕರೀನಾಳ,kannada_ocr_images/word_268.png
ಮಲೈಕಾ,kannada_ocr_images/word_269.png
ಹೊಸ,kannada_ocr_images/word_270.png
ನೈಟ್,kannada_ocr_images/word_271.png
ಮೋಡ್,kannada_ocr_images/word_272.png
ಫೀಚರ್,kannada_ocr_images/word_273.png
ಮಂದ,kannada_ocr_images/word_274.png
ಫೋಟೋ,kannada_ocr_images/word_275.png
ಸಹಕಾರಿಯಾಗುವಂತೆ,kannada_ocr_images/word_276.png
ನೈಟ್,kannada_ocr_images/word_277.png
ಮೋಡ್,kannada_ocr_images/word_278.png
ಐಓಎಸ್,kannada_ocr_images/word_279.png
ನ,kannada_ocr_images/word_280.png
ಹೊಸ,kannada_ocr_images/word_281.png
ಫೀಚರ್,kannada_ocr_images/word_282.png
ಪಡೆಯಲು,kannada_ocr_images/word_283.png
ನೀವು,kannada_ocr_images/word_284.png
ಗಾಗಿ,kannada_ocr_images/word_285.png
ಹೊಸ,kannada_ocr_images/word_286.png
ಫೀಚರ್,kannada_ocr_images/word_287.png
ಗಾಗಿ,kannada_ocr_images/word_288.png
ಸೆಲೆಕ್ಷನ್,kannada_ocr_images/word_289.png
ಟೂಲ್,kannada_ocr_images/word_290.png
ಬಾರ್,kannada_ocr_images/word_291.png
ಹಾಗೂ,kannada_ocr_images/word_292.png
ಎಮೋಜಿ,kannada_ocr_images/word_293.png
ಅಪ್,kannada_ocr_images/word_294.png
ಡೇಟ್,kannada_ocr_images/word_295.png
ಹೊಸ,kannada_ocr_images/word_296.png
ಫೀಚರ್,kannada_ocr_images/word_297.png
ಮೆಸೇಜ್,kannada_ocr_images/word_298.png
ಡಿಲೀಟ್,kannada_ocr_images/word_299.png
ಮಾಡಲು,kannada_ocr_images/word_300.png
ಹೊಸ,kannada_ocr_images/word_301.png
ಫೀಚರ್,kannada_ocr_images/word_302.png
ಯಾವುದೋ,kannada_ocr_images/word_303.png
ಮೆಸೇಜ್,kannada_ocr_images/word_304.png
ನಂತರ,kannada_ocr_images/word_305.png
ಡಿಲೀಟ್,kannada_ocr_images/word_306.png
ಅಂತಾ,kannada_ocr_images/word_307.png
ನೀವು,kannada_ocr_images/word_308.png
ಗಮನಿಸಬೇಕಾದ,kannada_ocr_images/word_309.png
ಅತಿ,kannada_ocr_images/word_310.png
ಜನರು,kannada_ocr_images/word_311.png
ಇರೋ,kannada_ocr_images/word_312.png
ಈ,kannada_ocr_images/word_313.png
ಚಾಟ್,kannada_ocr_images/word_314.png
ನ,kannada_ocr_images/word_315.png
ಫೀಚರ್,kannada_ocr_images/word_316.png
ಆಗಾಗ,kannada_ocr_images/word_317.png
ಸಂದೇಶ,kannada_ocr_images/word_318.png
ಕಳುಹಿಸುವ,kannada_ocr_images/word_319.png
ಕೊನೆಗೂ,kannada_ocr_images/word_320.png
ಬಳಕೆದಾರರಿಗೆ,kannada_ocr_images/word_321.png
ಹೊಸ,kannada_ocr_images/word_322.png
ಫೀಚರ್,kannada_ocr_images/word_323.png
ಈ,kannada_ocr_images/word_324.png
ಹೊಸ,kannada_ocr_images/word_325.png
ಫೀಚರ್,kannada_ocr_images/word_326.png
ಮೂಲಕ,kannada_ocr_images/word_327.png
ಬಳಕೆದಾರರು,kannada_ocr_images/word_328.png
ಪಿನ್,kannada_ocr_images/word_329.png
ಟು,kannada_ocr_images/word_330.png
ಟಾಪ್,kannada_ocr_images/word_331.png
ಮೀಟರ್,kannada_ocr_images/word_332.png
ರೀಡರ್,kannada_ocr_images/word_333.png
ನ,kannada_ocr_images/word_334.png
ರಾಸಲೀಲೆ,kannada_ocr_images/word_335.png
ವಿಡಿಯೋ,kannada_ocr_images/word_336.png
ವೈರಲ್,kannada_ocr_images/word_337.png
ಮೀಟರ್,kannada_ocr_images/word_338.png
ರೀಡರ್,kannada_ocr_images/word_339.png
ರಾಸಲೀಲೆ,kannada_ocr_images/word_340.png
ವಿಡಿಯೋ,kannada_ocr_images/word_341.png
ಸಾಮಾಜಿಕ,kannada_ocr_images/word_342.png
ಜಾಲತಾಣ,kannada_ocr_images/word_343.png
ಫುಲ್,kannada_ocr_images/word_344.png
ವೈರಲ್,kannada_ocr_images/word_345.png
ವಿಡಿಯೋ,kannada_ocr_images/word_346.png
ಹಿರಿಯ,kannada_ocr_images/word_347.png
ಅಧಿಕಾರಿಗಳು,kannada_ocr_images/word_348.png
ಮೀಟರ್,kannada_ocr_images/word_349.png
ರೀಡರ್,kannada_ocr_images/word_350.png
ಬೀದರ್,kannada_ocr_images/word_351.png
ಬಳಸುವಾಗ,kannada_ocr_images/word_352.png
ಹಲವು,kannada_ocr_images/word_353.png
ವಿಧಾನ,kannada_ocr_images/word_354.png
ಪರಿಷತ್,kannada_ocr_images/word_355.png
ಗೆ,kannada_ocr_images/word_356.png
ಫೋಟೋ,kannada_ocr_images/word_357.png
ಸಾಮಾಜಿಕ,kannada_ocr_images/word_358.png
ಜಾಲತಾಣಗಳ,kannada_ocr_images/word_359.png
ಕಡಿವಾಣ,kannada_ocr_images/word_360.png
ಹಾಕಲು,kannada_ocr_images/word_361.png
ಈಗಾಗಲೇ,kannada_ocr_images/word_362.png
ಕಾನೂನು,kannada_ocr_images/word_363.png
ಜಾರಿಗೆ,kannada_ocr_images/word_364.png
ಅವಹೇಳನಕಾರಿ,kannada_ocr_images/word_365.png
ಮಾಡಿದ,kannada_ocr_images/word_366.png
ಈಗ,kannada_ocr_images/word_367.png
ಹೊಸ,kannada_ocr_images/word_368.png
ಅಪ್,kannada_ocr_images/word_369.png
ಡೇಟ್,kannada_ocr_images/word_370.png
ಬಳಕೆದಾರರು,kannada_ocr_images/word_371.png
ಮೆಸೇಜ್,kannada_ocr_images/word_372.png
ಬಳಿ,kannada_ocr_images/word_373.png
ಸಂದೇಶ,kannada_ocr_images/word_374.png
ಓದುವಂತೆ,kannada_ocr_images/word_375.png
ಸಾಮಾಜಿಕ,kannada_ocr_images/word_376.png
ಜಾಲತಾಣ,kannada_ocr_images/word_377.png
ಮೂಲಕ,kannada_ocr_images/word_378.png
ಯುವತಿಯರ,kannada_ocr_images/word_379.png
ವಿಡಿಯೋ,kannada_ocr_images/word_380.png
ಡೀಲ್,kannada_ocr_images/word_381.png
ಇದು,kannada_ocr_images/word_382.png
ಬಂದ,kannada_ocr_images/word_383.png
ಸಾಮಾಜಿಕ,kannada_ocr_images/word_384.png
ಜಾಲತಾಣ,kannada_ocr_images/word_385.png
ದಾಖಲಾಗಿ,kannada_ocr_images/word_386.png
ತಮಿಳುನಾಡಿನ,kannada_ocr_images/word_387.png
ತೂತುಕುಡಿಯ,kannada_ocr_images/word_388.png
ವಿಭಾಗೀಯ,kannada_ocr_images/word_389.png
ಅಧಿಕಾರಿ,kannada_ocr_images/word_390.png
ಕಾರಣವಾದ,kannada_ocr_images/word_391.png
ಘಟನೆ,kannada_ocr_images/word_392.png
ಸಮೀಪ,kannada_ocr_images/word_393.png
ನಿಖಿಲ್,kannada_ocr_images/word_394.png
ಗಾಡೆ,kannada_ocr_images/word_395.png
ನೀಡಲು,kannada_ocr_images/word_396.png
ಎನ್,kannada_ocr_images/word_397.png
ಆರ್,kannada_ocr_images/word_398.png
ಐ,kannada_ocr_images/word_399.png
ತಲಾಖ್,kannada_ocr_images/word_400.png
ಅಂತಾ,kannada_ocr_images/word_401.png
ಬರೆದಿರೋ,kannada_ocr_images/word_402.png
ಇಮೇಜ್,kannada_ocr_images/word_403.png
ನೋಟಿಸ್,kannada_ocr_images/word_404.png
ಜೂನ್,kannada_ocr_images/word_405.png
ನಂತರ,kannada_ocr_images/word_406.png
ಫೇಸ್,kannada_ocr_images/word_407.png
ಬುಕ್,kannada_ocr_images/word_408.png
ಒಡೆತನದ,kannada_ocr_images/word_409.png
ಸಂವಹನ,kannada_ocr_images/word_410.png
ಸಂಭಾಷಣೆಯ,kannada_ocr_images/word_411.png
ತಲಾಖ್,kannada_ocr_images/word_412.png
ಮೆಸೇಜ್,kannada_ocr_images/word_413.png
ಸಲ,kannada_ocr_images/word_414.png
ಕಳುಹಿಸುವ,kannada_ocr_images/word_415.png
ಮೂಲಕ,kannada_ocr_images/word_416.png
ಪತಿಯ,kannada_ocr_images/word_417.png
ಈ,kannada_ocr_images/word_418.png
ಕಂಗಾಲಾದ,kannada_ocr_images/word_419.png
ಬಾಡಿಗೆಗೆ,kannada_ocr_images/word_420.png
ಮನೆ,kannada_ocr_images/word_421.png
ಹಾಸಿಗೆಗೆ,kannada_ocr_images/word_422.png
ಕರೆದ,kannada_ocr_images/word_423.png
ಬಾಡಿಗೆಗೆ,kannada_ocr_images/word_424.png
ಮನೆ,kannada_ocr_images/word_425.png
ಕೊಡಲು,kannada_ocr_images/word_426.png
ಜೊತೆ,kannada_ocr_images/word_427.png
ಮಾಡುವಂತೆ,kannada_ocr_images/word_428.png
ಆಫರ್,kannada_ocr_images/word_429.png
ನೀಡಿದ,kannada_ocr_images/word_430.png
ಮನೆ,kannada_ocr_images/word_431.png
ಮಾಲೀಕನ,kannada_ocr_images/word_432.png
ಗೆ,kannada_ocr_images/word_433.png
ಮನೆ,kannada_ocr_images/word_434.png
ಬಾಡಿಗೆಗೆ,kannada_ocr_images/word_435.png
ಕೊಡುವುದಾಗಿ,kannada_ocr_images/word_436.png
ಆತ,kannada_ocr_images/word_437.png
ಜಾಹೀರಾತು,kannada_ocr_images/word_438.png
ಸಿಯಾನ್,kannada_ocr_images/word_439.png
ಥಾಮಸ್,kannada_ocr_images/word_440.png
ಮನೆ,kannada_ocr_images/word_441.png
ಮಾಲೀಕನ,kannada_ocr_images/word_442.png
ಮನೆ,kannada_ocr_images/word_443.png
ಭೇಟಿಯಾದ,kannada_ocr_images/word_444.png
ತನಗೆ,kannada_ocr_images/word_445.png
ಬಾಡಿಗೆಗೆ,kannada_ocr_images/word_446.png
ಮನೆ,kannada_ocr_images/word_447.png
ಬೇಕು,kannada_ocr_images/word_448.png
ಅಂತಾ,kannada_ocr_images/word_449.png
ದಿನ,kannada_ocr_images/word_450.png
ಜೊತೆಗೆ,kannada_ocr_images/word_451.png
ಡೆಪಾಸಿಟ್,kannada_ocr_images/word_452.png
ಹಾಗೂ,kannada_ocr_images/word_453.png
ಬಾಡಿಗೆ,kannada_ocr_images/word_454.png
ಕಡಿಮೆ,kannada_ocr_images/word_455.png
ಮಾಡೋದಾಗಿ,kannada_ocr_images/word_456.png
ಮನೆ,kannada_ocr_images/word_457.png
ಮಾಲೀಕ,kannada_ocr_images/word_458.png
ಆಫರ್,kannada_ocr_images/word_459.png
ಸಿಯಾನ್,kannada_ocr_images/word_460.png
ನಂತರ,kannada_ocr_images/word_461.png
ಐಟಿವಿ,kannada_ocr_images/word_462.png
ಈ,kannada_ocr_images/word_463.png
ಆಪರೇಶನ್,kannada_ocr_images/word_464.png
ಮಾಡದಂತೆ,kannada_ocr_images/word_465.png
ಮನೆ,kannada_ocr_images/word_466.png
ಮಾಲೀಕ,kannada_ocr_images/word_467.png
ಇ,kannada_ocr_images/word_468.png
ಮೇಲ್,kannada_ocr_images/word_469.png
ಕೂಡ,kannada_ocr_images/word_470.png
ಫಾರ್,kannada_ocr_images/word_471.png
ಹೊಸ,kannada_ocr_images/word_472.png
ಮನೆ,kannada_ocr_images/word_473.png
ಬಾಡಿಗೆ,kannada_ocr_images/word_474.png
ದೆಹಲಿ,kannada_ocr_images/word_475.png
ಪೊಲೀಸ್,kannada_ocr_images/word_476.png
ಪೊಲೀಸ್,kannada_ocr_images/word_477.png
ಬಾರಿ,kannada_ocr_images/word_478.png
ಈತ,kannada_ocr_images/word_479.png
ವಾಹನ,kannada_ocr_images/word_480.png
ಕದಿಯುವ,kannada_ocr_images/word_481.png
ಹೆಸರು,kannada_ocr_images/word_482.png
ಧನಿ,kannada_ocr_images/word_483.png
ರಾಮ್,kannada_ocr_images/word_484.png
ಇವನು,kannada_ocr_images/word_485.png
ಸುಪರ್,kannada_ocr_images/word_486.png
ನಟವರಲಾಲ್,kannada_ocr_images/word_487.png
ಈತ,kannada_ocr_images/word_488.png
ಜುಲೈ,kannada_ocr_images/word_489.png
ಲಕ್ಷಾಧಿಪತಿಯಾಗುವ,kannada_ocr_images/word_490.png
ಕೆಲವರು,kannada_ocr_images/word_491.png
ಕೈಗೆ,kannada_ocr_images/word_492.png
ಬಂದ,kannada_ocr_images/word_493.png
ಬಾಯಿಗೆ,kannada_ocr_images/word_494.png
ಹಾಗೆ,kannada_ocr_images/word_495.png
ಕೈಗೆ,kannada_ocr_images/word_496.png
ಬಂದ,kannada_ocr_images/word_497.png
ಹಣ,kannada_ocr_images/word_498.png
ನೆಲೆ,kannada_ocr_images/word_499.png
ಉಚಿತ,kannada_ocr_images/word_500.png
ಯೋಜನೆ,kannada_ocr_images/word_501.png
ಕುರಿತು,kannada_ocr_images/word_502.png
ಉಚಿತ,kannada_ocr_images/word_503.png
ಬಡತನ,kannada_ocr_images/word_504.png
ಕೆಳಗಿರುವ,kannada_ocr_images/word_505.png
